DOI	SemanticScholar Citation Count	Note
10.18653/v1/2020.emnlp-main.240	1	
10.18653/v1/2020.emnlp-main.241	5	
10.18653/v1/2020.emnlp-main.242	12	
10.18653/v1/2020.emnlp-main.243	4	
10.18653/v1/2020.emnlp-main.244	0	
10.18653/v1/2020.emnlp-main.245	5	
10.18653/v1/2020.emnlp-main.246	3	
10.18653/v1/2020.emnlp-main.247	1	
10.18653/v1/2020.emnlp-main.248	19	
10.18653/v1/2020.emnlp-main.249	0	
10.18653/v1/2020.emnlp-main.250	8	
10.18653/v1/2020.emnlp-main.251	0	
10.18653/v1/2020.emnlp-main.252	3	
10.18653/v1/2020.emnlp-main.253	12	
10.18653/v1/2020.emnlp-main.254	14	
10.18653/v1/2020.emnlp-main.255	11	
10.18653/v1/2020.emnlp-main.256	11	
10.18653/v1/2020.emnlp-main.257	13	
10.18653/v1/2020.emnlp-main.258	4	
10.18653/v1/2020.emnlp-main.259	43	
10.18653/v1/2020.emnlp-main.260	3	
10.18653/v1/2020.emnlp-main.261	4	
10.18653/v1/2020.emnlp-main.262	20	
10.18653/v1/2020.emnlp-main.263	29	
10.18653/v1/2020.emnlp-main.264	5	
10.18653/v1/2020.emnlp-main.265	13	
10.18653/v1/2020.emnlp-main.266	1	
10.18653/v1/2020.emnlp-main.267	2	
10.18653/v1/2020.emnlp-main.268	2	
10.18653/v1/2020.emnlp-main.269	27	
10.18653/v1/2020.emnlp-main.270	2	
10.18653/v1/2020.emnlp-main.271	15	
10.18653/v1/2020.emnlp-main.272	30	
10.18653/v1/2020.emnlp-main.273	26	
10.18653/v1/2020.emnlp-main.274	8	
10.18653/v1/2020.emnlp-main.275	19	
10.18653/v1/2020.emnlp-main.276	4	
10.18653/v1/2020.emnlp-main.277	4	
10.18653/v1/2020.emnlp-main.278	1	
10.18653/v1/2020.emnlp-main.279	13	
10.18653/v1/2020.emnlp-main.280	2	
10.18653/v1/2020.emnlp-main.281	7	
10.18653/v1/2020.emnlp-main.282	0	
10.18653/v1/2020.emnlp-main.283	8	
10.18653/v1/2020.emnlp-main.284	2	
10.18653/v1/2020.emnlp-main.285	29	
10.18653/v1/2020.emnlp-main.286	11	
10.18653/v1/2020.emnlp-main.287	3	
10.18653/v1/2020.emnlp-main.288	3	
10.18653/v1/2020.emnlp-main.289	4	
10.18653/v1/2020.emnlp-main.290	4	
10.18653/v1/2020.emnlp-main.291	3	
10.18653/v1/2020.emnlp-main.292	5	
10.18653/v1/2020.emnlp-main.293	3	
10.18653/v1/2020.emnlp-main.294	8	
10.18653/v1/2020.emnlp-main.295	12	
10.18653/v1/2020.emnlp-main.296	15	
10.18653/v1/2020.emnlp-main.297	10	
10.18653/v1/2020.emnlp-main.298	27	
10.18653/v1/2020.emnlp-main.299	10	
10.18653/v1/2020.emnlp-main.300	2	
10.18653/v1/2020.emnlp-main.301	4	
10.18653/v1/2020.emnlp-main.302	6	
10.18653/v1/2020.emnlp-main.303	17	
10.18653/v1/2020.emnlp-main.304	3	
10.18653/v1/2020.emnlp-main.305	8	
10.18653/v1/2020.emnlp-main.306	12	
10.18653/v1/2020.emnlp-main.307	0	
10.18653/v1/2020.emnlp-main.308	5	
10.18653/v1/2020.emnlp-main.309	9	
10.18653/v1/2020.emnlp-main.310	4	
10.18653/v1/2020.emnlp-main.311	1	
10.18653/v1/2020.emnlp-main.312	0	
10.18653/v1/2020.emnlp-main.313	6	
10.18653/v1/2020.emnlp-main.314	3	
10.18653/v1/2020.emnlp-main.315	2	
10.18653/v1/2020.emnlp-main.316	6	
10.18653/v1/2020.emnlp-main.317	58	
10.18653/v1/2020.emnlp-main.318	3	
10.18653/v1/2020.emnlp-main.319	1	
10.18653/v1/2020.emnlp-main.320	1	
10.18653/v1/2020.emnlp-main.321	4	
10.18653/v1/2020.emnlp-main.322	8	
10.18653/v1/2020.emnlp-main.323	7	
10.18653/v1/2020.emnlp-main.324	4	
10.18653/v1/2020.emnlp-main.325	2	
